Date,Open,High,Low,Close,Volume,Adj Close,Gold,jpyusd,gbpusd,eurusd,Crude,Earnings,Div. yield,Dividend,CALLS,PUTS,TOTAL,P/C Ratio,p/e ratio,ADX+,ADX-,ADX,EMA22,SMA200,RSI22,TR,ATR22,sentiment score
12/15/2000,1340.93,1340.93,1305.38,1312.15,1561100000,1312.15,270.95,0.8886,1.4743,0.8952,28.86,67.16,1.22,21.85,0,0,0,0,19.54,0,19.06,19.06,1348.49,1437.14,40.88,35.5500,20.2391,
12/14/2000,1359.99,1359.99,1340.48,1340.93,1061300000,1340.93,269.85,0.892,1.4723,0.8905,28.06,67.16,1.22,21.85,0,0,0,0,19.97,0,25.83,25.83,1351.42,1437.62,48.91,19.5100,26.9841,
12/13/2000,1371.18,1385.82,1358.48,1359.99,1195100000,1359.99,269.35,0.8904,1.4554,0.8766,28.75,67.16,1.22,21.85,0,0,0,0,20.25,5.55,0,5.55,1353.32,1437.83,47.47,27.3400,10.7882,
12/12/2000,1380.2,1380.27,1370.27,1371.18,1083400000,1371.18,271.35,0.8976,1.4489,0.8788,29.81,67.16,1.22,21.85,0,0,0,0,20.42,0,8.78,8.78,1355.50,1437.92,44.94,10.0000,24.2323,
12/11/2000,1369.89,1389.05,1364.14,1380.2,1202400000,1380.2,270.55,0.9025,1.4556,0.8758,29.75,67.16,1.22,21.85,0,0,0,0,20.55,8.72,0,8.72,1357.49,1437.90,42.11,24.9100,36.2405,
12/8/2000,1343.55,1380.33,1343.55,1369.89,1358300000,1369.89,272.75,0.9012,1.4463,0.886,28.31,67.16,1.22,21.85,0,0,0,0,20.40,26.83,0,26.83,1359.16,1437.74,40.62,36.7800,15.2645,
12/7/2000,1351.46,1353.5,1339.26,1343.55,1128000000,1343.55,273.75,0.9048,1.4443,0.8892,29.36,67.16,1.22,21.85,0,0,0,0,20.01,0,23.04,23.04,1360.55,1437.56,34.46,14.2400,29.6559,
12/6/2000,1376.54,1376.54,1346.15,1351.46,1399300000,1351.46,274.75,0.9067,1.4422,0.8913,30.24,67.16,1.22,21.85,0,0,0,0,20.12,0,0.02,0.02,1364.36,1437.61,38.91,30.3900,50.6264,
12/5/2000,1324.97,1376.56,1324.97,1376.54,900300000,1376.54,270.6,0.9001,1.4323,0.8796,29.25,67.16,1.22,21.85,0,0,0,0,20.50,44.5,0,44.50,1368.69,1437.65,38.89,51.5900,23.1827,
12/4/2000,1315.18,1332.06,1310.23,1324.97,1103000000,1324.97,270.5,0.9016,1.4529,0.889,31.28,67.16,1.22,21.85,0,0,0,0,19.73,0,2.61,2.61,1368.20,1437.53,27.32,21.8300,27.3855,
